Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
1,Josh Jacobs,LVR,25,RB,10,10,186,622,5,30,48.4,40,3.3,62.2,3,JacoJo01
2,Travis Etienne,JAX,24,RB,9,9,160,618,7,33,46.3,35,3.9,68.7,0,EtieTr00
3,Christian McCaffrey,SFO,27,RB,9,9,153,747,9,44,54.9,65,4.9,83.0,3,McCaCh01
4,Joe Mixon,CIN,27,RB,10,10,153,605,4,38,48.4,22,4.0,60.5,0,MixoJo00
5,Derrick Henry,TEN,29,RB,9,9,148,625,4,30,48.6,63,4.2,69.4,0,HenrDe00
6,Kenneth Walker III,SEA,23,RB,9,9,145,595,6,28,45.5,45,4.1,66.1,0,WalkKe00
7,Saquon Barkley,NYG,26,RB,7,7,139,568,1,26,41.0,34,4.1,81.1,1,BarkSa00
8,Tony Pollard,DAL,26,RB,9,9,135,529,2,27,45.9,31,3.9,58.8,2,PollTo00
9,D'Andre Swift,PHI,24,RB,9,8,135,614,3,30,54.1,43,4.5,68.2,3,SwifDA00
10,Gus Edwards,BAL,28,RB,11,6,133,564,10,36,55.6,42,4.2,51.3,1,EdwaGu00
11,Zack Moss,IND,26,RB,9,5,133,617,5,31,47.4,56,4.6,68.6,0,MossZa00
12,Rachaad White,TAM,24,RB,9,9,132,429,3,20,37.1,16,3.3,47.7,1,WhitRa01
13,Alexander Mattison,MIN,25,RB,10,10,130,461,0,18,41.5,19,3.5,46.1,1,MattAl01
14,Rhamondre Stevenson,NWE,25,RB,10,10,126,482,3,25,48.4,64,3.8,48.2,0,StevRh00
15,Tyler Allgeier,ATL,23,RB,10,2,125,402,3,25,44.8,22,3.2,40.2,0,AllgTy00
16,Bijan Robinson,ATL,21,RB,10,9,125,612,2,32,42.4,38,4.9,61.2,2,RobiBi01
17,Jerome Ford,CLE,24,RB,9,5,124,532,2,19,37.9,69,4.3,59.1,1,FordJe00
18,Isiah Pacheco,KAN,24,RB,9,8,124,525,3,30,51.6,48,4.2,58.3,0,PachIs00
19,Brian Robinson Jr.,WAS,24,RB,10,10,121,485,5,32,46.3,29,4.0,48.5,2,RobiBr01
20,James Cook,BUF,24,RB,10,7,120,615,1,31,57.5,42,5.1,61.5,2,CookJa01
21,Najee Harris,PIT,25,RB,9,9,116,464,3,24,44.0,25,4.0,51.6,1,HarrNa00
22,Javonte Williams,DEN,23,RB,8,7,111,436,0,20,43.2,21,3.9,54.5,0,WillJa10
23,Raheem Mostert,MIA,31,RB,9,9,109,605,11,32,56.9,49,5.6,67.2,4,MostRa00
24,Dameon Pierce,HOU,23,RB,7,7,109,327,1,12,40.4,16,3.0,46.7,0,PierDa01
25,Breece Hall,NYJ,22,RB,9,9,107,521,2,17,38.3,83,4.9,57.9,2,HallBr03
26,David Montgomery,DET,26,RB,6,6,106,501,7,26,53.8,75,4.7,83.5,2,MontDa01
27,Alvin Kamara,NOR,28,RB,7,7,104,388,2,24,47.1,17,3.7,55.4,0,KamaAl00
28,AJ Dillon,GNB,25,RB,9,3,103,376,1,18,49.5,40,3.7,41.8,0,DillAJ00
29,Lamar Jackson,BAL,26,QB,11,11,101,535,5,35,53.5,26,5.3,48.6,10,JackLa00
30,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,60.8,31,4.7,76.0,1,WillKy02
31,Chuba Hubbard,CAR,24,RB,9,4,94,351,1,25,55.3,21,3.7,39.0,1,HubbCh01
32,Austin Ekeler,LAC,28,RB,6,6,92,332,4,13,42.4,55,3.6,55.3,1,EkelAu00
33,Devin Singletary,HOU,26,RB,9,2,92,359,1,14,47.8,22,3.9,39.9,0,SingDe00
34,Jahmyr Gibbs,DET,21,RB,7,3,90,476,4,20,44.4,35,5.3,68.0,0,GibbJa01
35,Jalen Hurts,PHI,25,QB,9,9,88,316,7,39,61.4,24,3.6,35.1,4,HurtJa00
36,Ezekiel Elliott,NWE,28,RB,10,0,86,331,2,23,50.0,17,3.8,33.1,1,ElliEz00
37,D'Onta Foreman,CHI,27,RB,6,5,86,367,3,20,55.8,22,4.3,61.2,1,ForeDO00
38,Jonathan Taylor,IND,24,RB,6,4,85,323,2,16,45.9,42,3.8,53.8,0,TaylJo02
39,James Conner,ARI,28,RB,6,6,84,437,2,21,50.0,35,5.2,72.8,0,ConnJa00
40,Joshua Kelley,LAC,26,RB,9,3,79,339,2,18,46.8,49,4.3,37.7,0,KellJo01
41,Miles Sanders,CAR,26,RB,8,5,71,224,1,12,36.6,15,3.2,28.0,2,SandMi01
42,Jaylen Warren,PIT,25,RB,9,0,71,364,2,20,50.7,22,5.1,40.4,1,WarrJa01
43,Kareem Hunt,CLE,28,RB,7,2,70,228,6,20,48.6,16,3.3,32.6,0,HuntKa00
44,Joshua Dobbs,2TM,28,,10,9,62,368,5,26,50.0,44,5.9,36.8,11,DobbJo00
45,Aaron Jones,GNB,29,RB,6,6,62,231,2,10,59.7,11,3.7,38.5,2,JoneAa00
46,Justice Hill,BAL,26,RB,10,4,61,259,3,14,45.9,27,4.2,25.9,1,HillJu00
47,Cam Akers,2TM,24,,7,1,60,167,2,12,35.0,19,2.8,23.9,0,AkerCa00
48,Kenneth Gainwell,PHI,24,RB,8,1,54,175,2,10,37.0,16,3.2,21.9,2,GainKe00
49,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,51.0,34,5.3,54.4,1,HerbKh00
50,Latavius Murray,BUF,33,RB,10,3,51,215,3,19,56.9,29,4.2,21.5,0,MurrLa00
51,Taysom Hill,NOR,33,QB,10,6,50,261,3,19,70.0,20,5.2,26.1,0,HillTa00
52,Emari Demercado,ARI,24,RB,8,2,49,195,1,8,42.9,18,4.0,24.4,0,DemeEm00
53,Josh Allen,BUF,27,QB,10,10,48,246,7,23,66.7,23,5.1,24.6,4,AlleJo02
54,Dalvin Cook,NYJ,28,RB,9,0,47,147,0,9,42.6,10,3.1,16.3,1,CookDa01
55,Rico Dowdle,DAL,25,RB,9,0,47,212,1,11,53.2,21,4.5,23.6,0,DowdRi01
56,Justin Fields,CHI,24,QB,6,6,47,237,1,16,55.3,20,5.0,39.5,4,FielJu00
57,Matt Breida,NYG,28,RB,10,4,45,120,1,5,33.3,8,2.7,12.0,1,BreiMa00
58,Jamaal Williams,NOR,28,RB,6,2,45,131,0,6,46.7,11,2.9,21.8,1,WillJa06
59,Trevor Lawrence,JAX,24,QB,9,9,44,223,0,11,43.2,26,5.1,24.8,7,LawrTr00
60,Jaleel McLaughlin,DEN,23,RB,9,1,44,276,1,9,56.8,38,6.3,30.7,0,McLaJa00
61,Tyjae Spears,TEN,22,RB,9,0,44,234,1,12,50.0,23,5.3,26.0,0,SpeaTy00
62,Patrick Mahomes,KAN,28,QB,9,9,42,258,0,17,57.1,25,6.1,28.7,3,MahoPa00
63,Craig Reynolds,DET,27,RB,9,0,41,179,1,11,43.9,19,4.4,19.9,1,ReynCr00
64,Darrell Henderson,LAR,26,RB,3,3,40,111,1,4,37.5,16,2.8,37.0,0,HendDa00
65,Daniel Jones,NYG,26,QB,6,6,40,206,1,15,52.5,17,5.2,34.3,4,JoneDa05
66,Russell Wilson,DEN,35,QB,9,9,40,231,0,21,62.5,21,5.8,25.7,5,WilsRu00
67,De'Von Achane,MIA,22,RB,4,1,38,460,5,15,71.1,76,12.1,115.0,1,AchaDe00
68,Zach Charbonnet,SEA,22,RB,8,0,38,214,0,17,57.9,21,5.6,26.8,0,CharZa00
69,Roschon Johnson,CHI,22,RB,8,0,38,167,1,8,44.7,29,4.4,20.9,0,JohnRo07
70,Baker Mayfield,TAM,28,QB,9,9,38,134,0,10,42.1,31,3.5,14.9,4,MayfBa00
71,Justin Herbert,LAC,25,QB,9,9,36,113,3,12,38.9,15,3.1,12.6,2,HerbJu00
72,Keaontay Ingram,ARI,24,RB,8,1,35,74,0,4,20.0,14,2.1,9.3,0,IngrKe01
73,Pierre Strong,CLE,25,RB,9,0,34,152,1,6,55.9,40,4.5,16.9,0,StroPi00
74,Clyde Edwards-Helaire,KAN,24,RB,8,1,33,109,1,5,36.4,16,3.3,13.6,0,EdwaCl00
75,Royce Freeman,LAR,27,RB,6,0,33,142,1,9,57.6,15,4.3,23.7,0,FreeRo00
76,Desmond Ridder,ATL,24,QB,9,8,32,150,4,13,53.1,23,4.7,16.7,7,RiddDe00
77,Joe Burrow,CIN,27,QB,10,10,31,88,0,9,38.7,20,2.8,8.8,2,BurrJo01
78,Sam Howell,WAS,23,QB,10,10,31,174,1,11,48.4,24,5.6,17.4,4,HoweSa00
79,Jordan Love,GNB,25,QB,9,9,31,182,2,10,48.4,26,5.9,20.2,4,LoveJo03
80,Dak Prescott,DAL,30,QB,9,9,31,135,2,13,51.6,18,4.4,15.0,1,PresDa01
81,Darrynton Evans,CHI,25,RB,5,0,30,105,1,9,40.0,12,3.5,21.0,0,EvanDa02
82,Antonio Gibson,WAS,25,RB,10,0,30,137,0,6,50.0,13,4.6,13.7,3,GibsAn00
83,Elijah Mitchell,SFO,25,RB,6,0,30,73,0,4,30.0,18,2.4,12.2,0,MitcEl00
84,Kenny Pickett,PIT,25,QB,9,9,30,37,1,10,40.0,11,1.2,4.1,1,PickKe00
85,Zach Wilson,NYJ,24,QB,9,8,29,184,0,7,44.8,20,6.3,20.4,9,WilsZa00
86,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,57.1,20,6.1,85.0,0,ChubNi00
87,Kendre Miller,NOR,21,RB,7,0,28,83,0,5,32.1,10,3.0,11.9,0,MillKe01
88,Samaje Perine,DEN,28,RB,9,1,28,111,0,5,42.9,12,4.0,12.3,2,PeriSa00
89,Tank Bigsby,JAX,22,RB,9,0,26,59,2,7,42.3,9,2.3,6.6,2,BigsTa00
90,Mac Jones,NWE,25,QB,10,10,26,96,0,11,57.7,18,3.7,9.6,2,JoneMa05
91,Brock Purdy,SFO,24,QB,9,9,26,107,2,10,53.8,17,4.1,11.9,6,PurdBr00
92,Deshaun Watson,CLE,28,QB,6,6,26,142,1,10,61.5,16,5.5,23.7,5,WatsDe00
93,Tony Jones,2TM,26,,6,1,25,85,2,7,48.0,19,3.4,14.2,0,JoneTo04
94,Anthony Richardson,IND,21,QB,4,4,25,136,4,8,64.0,23,5.4,34.0,3,RichAn03
95,Ke'Shawn Vaughn,TAM,26,RB,6,0,24,42,0,0,20.8,9,1.8,7.0,0,VaugKe00
96,Tyson Bagent,CHI,23,QB,5,4,23,109,2,11,56.5,20,4.7,21.8,3,BageTy00
97,Ty Chandler,MIN,25,RB,10,0,23,87,1,5,39.1,15,3.8,8.7,0,ChanTy01
98,Damien Harris,BUF,26,RB,6,0,23,94,1,9,65.2,11,4.1,15.7,0,HarrDa06
99,Geno Smith,SEA,33,QB,9,9,23,66,0,4,34.8,15,2.9,7.3,3,SmitGe00
100,Tua Tagovailoa,MIA,25,QB,9,9,23,33,0,3,13.0,8,1.4,3.7,8,TagoTu00
101,C.J. Stroud,HOU,22,QB,9,9,22,86,2,9,54.5,12,3.9,9.6,6,StroCJ00
102,Tyrod Taylor,NYG,34,QB,7,3,22,98,0,5,45.5,20,4.5,14.0,2,TaylTy00
103,Jared Goff,DET,29,QB,9,9,21,11,2,4,19.0,11,0.5,1.2,2,GoffJa00
104,Jordan Mason,SFO,24,RB,9,0,21,117,2,6,61.9,26,5.6,13.0,0,MasoJo00
105,Rondale Moore,ARI,23,WR,10,4,21,150,1,4,42.9,45,7.1,15.0,0,MoorRo02
106,Deebo Samuel,SFO,27,WR,7,7,21,124,2,4,66.7,23,5.9,17.7,1,SamuDe00
107,Deuce Vaughn,DAL,22,RB,6,0,21,38,0,1,9.5,13,1.8,6.3,0,VaugDe00
108,Jimmy Garoppolo,LVR,32,QB,6,6,20,39,0,6,30.0,9,2.0,6.5,1,GaroJi00
109,Keaton Mitchell,BAL,21,RB,5,0,20,205,2,8,60.0,60,10.3,41.0,0,MitcKe01
110,Bryce Young,CAR,22,QB,8,8,20,135,0,10,60.0,26,6.8,16.9,4,YounBr01
111,Salvon Ahmed,MIA,25,RB,7,0,19,55,1,2,36.8,10,2.9,7.9,0,AhmeSa01
112,Derek Carr,NOR,32,QB,10,10,19,33,0,3,31.6,10,1.7,3.3,4,CarrDe02
113,Gardner Minshew II,IND,27,QB,10,6,17,44,2,4,35.3,17,2.6,4.4,5,MinsGa00
114,Cordarrelle Patterson,ATL,32,RB,7,0,17,76,0,3,41.2,18,4.5,10.9,0,PattCo00
115,Zamir White,LVR,24,RB,10,0,17,46,0,2,41.2,11,2.7,4.6,1,WhitZa01
116,Chris Brooks,MIA,23,RB,6,0,15,94,0,2,33.3,52,6.3,15.7,0,BrooCh00
117,Tommy DeVito,NYG,25,QB,3,1,15,70,1,2,40.0,19,4.7,23.3,0,DeViTo00
118,Sean Tucker,TAM,22,RB,7,0,15,23,0,1,26.7,7,1.5,3.3,0,TuckSe00
119,Kirk Cousins,MIN,35,QB,8,8,14,25,0,6,50.0,10,1.8,3.1,7,CousKi00
120,Chase Edmonds,TAM,27,RB,5,0,14,29,0,3,35.7,14,2.1,5.8,0,EdmoCh00
121,Deon Jackson,3TM,24,,4,1,14,16,0,1,14.3,7,1.1,4.0,2,JackDe02
122,Chris Rodriguez,WAS,23,RB,8,0,14,61,0,3,50.0,13,4.4,7.6,0,RodrCh00
123,Melvin Gordon,BAL,30,RB,2,0,13,53,0,2,23.1,22,4.1,26.5,0,GordMe00
124,Eric Gray,NYG,24,RB,7,0,13,27,0,1,30.8,8,2.1,3.9,3,GrayEr01
125,Ronnie Rivers,LAR,24,RB,6,0,13,57,0,2,53.8,9,4.4,9.5,0,RiveRo01
126,Matthew Stafford,LAR,35,QB,8,8,13,68,0,4,53.8,9,5.2,8.5,0,StafMa00
127,D'Ernest Johnson,JAX,27,RB,9,0,12,47,0,1,41.7,19,3.9,5.2,0,JohnDE04
128,Jerick McKinnon,KAN,31,RB,9,0,12,23,0,4,33.3,10,1.9,2.6,0,McKiJe00
129,Laviska Shenault Jr.,CAR,25,WR,6,0,12,55,0,3,50.0,11,4.6,9.2,1,ShenLa00
130,Isaiah Spiller,LAC,22,RB,5,0,12,27,0,0,25.0,6,2.3,5.4,0,SpilIs00
131,Ryan Tannehill,TEN,35,QB,6,6,12,40,1,2,33.3,13,3.3,6.7,3,TannRy00
132,P.J. Walker,CLE,28,QB,5,2,12,31,0,3,50.0,9,2.6,6.2,2,WalkPh00
133,Trayveon Williams,CIN,26,RB,10,0,12,59,0,2,41.7,15,4.9,5.9,0,WillTr06
134,Raheem Blackshear,CAR,24,RB,5,0,11,30,0,1,36.4,9,2.7,6.0,0,BlacRa00
135,Patrick Taylor,GNB,25,RB,4,0,11,31,0,2,18.2,10,2.8,7.8,0,TaylPa01
136,Damien Williams,ARI,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,0,WillDa05
137,Emanuel Wilson,GNB,24,RB,6,0,11,73,0,2,63.6,31,6.6,12.2,1,WilsEm00
138,Tank Dell,HOU,24,WR,8,6,10,39,0,2,50.0,13,3.9,4.9,1,DellNa00
139,Gary Brightwell,NYG,24,RB,7,0,9,19,0,0,22.2,5,2.1,2.7,0,BrigGa00
